"Consent Statement
Your participation in this survey is completely voluntary and anonymous. We do not track your email or collect any personally identifying information. Only your age and demographic background will be requested. All responses will be used strictly for academic research purposes only.
Do you consent to participate in this study under these conditions?","Your Age:
Please only write the number",Your Gender:,Country of Residence:,Country of Birth:,Ethnic or Cultural Background,"s1: Honey never spoils. Archaeologists have found 3,000-year-old honey in Egyptian tombs that’s still edible.","s2: Next Halloween costume idea: CEO and Head of HR.
",s3: A group of flamingos is called a “flamboyance.”,"s4: Shake it, “the container cam”.
","s5: Well its settled then, it's not nearly as fun to hangout in a coffee shop as much as it is in a bar.

","s6: Went on a date to Wetherspoons. Either I’ve hit rock bottom… or I’ve peaked financially.

","s7: Q: I'm two months pregnant now. When will my baby move?
A: With any luck, right after he finishes college. 
","s8: In India, footpaths are for two things: walking and Salman Khan's driving practice.
","s9: Light travels faster than sound. That’s why some people appear bright until you hear them speak.

","s10: The inventor of the frisbee was turned into a frisbee. When he died, his ashes were molded into frisbees for his family and friends.","s11: How do you know if a vampire is unwell? Because he'll be coffin.

",s12: There are more possible iterations of a game of chess than there are atoms in the observable universe.,"s13: I asked the barber for a ‘short back and sides’, he handed me a copy of The Sun and turned on Coronation Street.

 ","s14: Octopuses have three hearts: two pump blood to the gills, and one pumps it to the rest of the body.","s15: I'm on a whiskey diet… I’ve lost three days already.

","s16: A statistical correlation without causation is simply a misleading relationship.

","s17: Two wrongs don’t make a right, take your parents as an example.
","s18: I took my 8-year-old to the office on Take Your Child to Work Day. As we were walking around, she starting crying & getting very cranky, so I asked her what was wrong. As my coworkers gathered round, she sobbed, 'Daddy, where are all the clowns that you said you worked with?'

",s19: Cleopatra lived closer to the invention of the iPhone than to the building of the Great Pyramid.,"s20: I asked the librarian if the library had books on paranoia. She whispered, “They’re right behind you.”
","s21: At Manchester airport and just seen a german woman smile to her pals, point out the window at a passing Jet2 plane and say in a strong german accent ""nothing beats a Jet2 holiday"". 

","s22: [closes book, slowly removes glasses, and thoughtfully cleans them with a small cloth] I honestly don't think Waldo is in there
","s23: Bananas are berries, but strawberries aren’t. Botanically speaking, bananas qualify as berries, but strawberries do not.",s24: The heart of a blue whale is so big that a human can swim through its arteries.,"s25: BOSS: tell me about Susanne
ME: *takes a drag of cigarette* ah, the one that got away
BOSS: you're a zoo keeper none of them should get away.

","s26: After my youngest daughter fixed my computer, I overheard her talking with one of her friends saying it was just an ""ID ten TerrorÂ”. They both starting laughing. Not wanting to appear dumb, I walked away and wrote down the code. ID10T. She was never my favorite kid anyway.

",s27: The fingerprints of a koala are so close to humans’ that they can taint crime scenes.,"s28: Q: Should I have a baby after 35?
A: No, 35 children is enough.

","s29: A bolt of lightning contains enough energy to toast 100,000 slices of bread.","s30: I told my computer I needed a break. Now it keeps sending me vacation ads.

<<<<<<< HEAD
"
"Yes, I consent to participate.",24,Female,Usa,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No
"Yes, I consent to participate.",25,Male,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I didn't understand the statement,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
"Yes, I consent to participate.",21,Male,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,I didn't understand the statement,No,I didn't understand the statement,Yes,Yes,Yes,No,Yes,No,I didn't understand the statement,No,I didn't understand the statement,No,Yes,Yes,No,No,I didn't understand the statement,I didn't understand the statement,No,No,Yes,I didn't understand the statement,No,Yes,No,Yes
"Yes, I consent to participate.",22,Female,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,I didn't understand the statement,I didn't understand the statement,I didn't understand the statement,Yes,Yes,Yes,No,Yes,No,I didn't understand the statement,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
"Yes, I consent to participate.",20,Male,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,I didn't understand the statement,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,I didn't understand the statement,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes
"Yes, I consent to participate.",24,Female,United Kingdom,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,No,No,No,No,No,No,Yes,No,No,No,No,I didn't understand the statement,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
"Yes, I consent to participate.",24,Male,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,No,No,I didn't understand the statement,No,Yes,No,Yes,Yes,No,No,No,I didn't understand the statement,No,Yes,Yes,Yes,Yes,No,No,Yes,I didn't understand the statement,No,No,Yes,Yes,No,No,No,Yes
"Yes, I consent to participate.",24,Female,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,I didn't understand the statement,No,I didn't understand the statement,No,Yes,Yes,No,No,No,I didn't understand the statement,No,I didn't understand the statement,Yes,Yes,Yes,No,Yes,I didn't understand the statement,I didn't understand the statement,No,No,Yes,Yes,No,Yes,No,No
"Yes, I consent to participate.",24,Male,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,Yes,I didn't understand the statement,I didn't understand the statement,Yes,Yes,Yes,No,No,No,Yes,No,Yes,I didn't understand the statement,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No
"Yes, I consent to participate.",23,Male,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,No,No,No,Yes,I didn't understand the statement,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,I didn't understand the statement,Yes,No,No,Yes,Yes,No,Yes,No,Yes
"Yes, I consent to participate.",28,Female,United Kingdom,Turkey,"Middle Eastern / North African (e.g., Arab, Persian, Turkish, Egyptian)",No,No,No,No,No,Yes,Yes,I didn't understand the statement,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
"Yes, I consent to participate.",24,Female,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,I didn't understand the statement,Yes,No,Yes,Yes,Yes,No,Yes,No,I didn't understand the statement,No,Yes,I didn't understand the statement,Yes,Yes,No,Yes,No,I didn't understand the statement,No,No,No,Yes,No,Yes,No,Yes
"Yes, I consent to participate.",27,Male,India,India,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,Yes,No,I didn't understand the statement,Yes,Yes,Yes,Yes,Yes,No,No,No,I didn't understand the statement,No,Yes,Yes,Yes,Yes,No,Yes,I didn't understand the statement,I didn't understand the statement,No,No,Yes,I didn't understand the statement,No,No,No,No
"Yes, I consent to participate.",25,Male,United Kingdom,pakistan,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",No,No,No,I didn't understand the statement,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes
"Yes, I consent to participate.",24,Female,United Kingdom,Colombia,"Hispanic / Latino/a/x (e.g., Mexican, Brazilian, Colombian, Spanish-speaking)",No,Yes,No,No,No,I didn't understand the statement,Yes,I didn't understand the statement,Yes,No,No,No,I didn't understand the statement,No,No,I didn't understand the statement,No,Yes,No,No,No,No,No,No,No,I didn't understand the statement,No,Yes,No,No
"Yes, I consent to participate.",19,Male,England,England,Mixed / Multiple ethnic backgrounds,No,No,No,I didn't understand the statement,No,Yes,Yes,No,Yes,No,No,No,I didn't understand the statement,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
"Yes, I consent to participate.",16,Female,UK,UK,White / Caucasian,No,Yes,No,No,No,Yes,No,I didn't understand,Yes,No,No,No,Yes,No,I didn't understand the statement,I didn't understand the statement,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
"Yes, I consent to participate.",61,Male,Canada,Canada,White / Caucasian,No,No,No,No,No,No,No,I didn't understand,Yes,No,Yes,No,No,No,No,I didn't understand the statement,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
"Yes, I consent to participate.",49,Female,Germany,Germany,White / Caucasian,No,No,No,Yes,Yes,I didn't understand,Yes,I didn't understand,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No
"Yes, I consent to participate.",28,Male,South Africa,South Africa,Black / African,No,Yes,No,Yes,No,No,No,I didn't understand,Yes,No,No,No,I didn't understand the statement,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No
"Yes, I consent to participate.",24,Female,USA,USA,Hispanic / Latino,No,Yes,No,No,No,No,Yes,I didn't understand,Yes,No,No,No,I didn't understand the statement,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
"Yes, I consent to participate.",32,Male,Australia,Australia,White / Caucasian,No,No,No,No,Yes,No,No,I didn't understand,No,No,Yes,No,I didn't understand the statement,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes
"Yes, I consent to participate.",54,Female,USA,USA,Black / African,No,Yes,No,No,No,Yes,No,I didn't understand,Yes,No,No,No,I didn't understand the statement,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No
"Yes, I consent to participate.",22,Male,Singapore,Malaysia,Southeast Asian,No,Yes,No,Yes,No,No,No,I didn't understand,Yes,No,No,No,I didn't understand the statement,No,I didn't understand the statement,No,Yes,No,No,No,Yes,No,No,No,No,I didn't understand the statement,No,Yes,No,Yes
"Yes, I consent to participate.",39,Female,France,France,White / Caucasian,No,No,No,No,No,No,Yes,I didn't understand,Yes,No,No,No,I didn't understand the statement,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes
"Yes, I consent to participate.",25,Male,UK,UK,Mixed / Multiple,No,Yes,No,Yes,Yes,Yes,No,I didn't understand,Yes,No,No,No,Yes,No,No,I didn't understand the statement,Yes,No,No,Yes,Yes,No,No,No,Yes,I didn't understand the statement,No,Yes,No,No
"Yes, I consent to participate.",63,Male,USA,USA,White / Caucasian,No,No,No,No,No,No,No,I didn't understand,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes
"Yes, I consent to participate.",58,Female,Australia,New Zealand,White / Caucasian,No,No,No,No,No,Yes,No,I didn't understand,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes
